유형,동사원형,과거형,과거분사형,한글 뜻(핵심어 중심),레벨
A-B-C,swear,swore,sworn,맹세하다,Difficult
A-B-C,swell,swelled,swollen/swelled,붓다/부풀다,Difficult
A-B-C,swim,swam,swum,수영하다,Easy
A-B-C,take,took,taken,가져가다,Easy
A-B-C,tear,tore,torn,찢다,Average
A-B-C,throw,threw,thrown,던지다,Easy
A-B-C,undergo,underwent,undergone,겪다/받다,Difficult
A-B-C,undertake,undertook,undertaken,떠맡다/착수하다,Difficult
A-B-C,wake,woke,woken,깨다,Easy
A-B-C,wear,wore,worn,입다,Easy
A-B-C,weave,wove,woven,짜다/엮다,Average
A-B-C,withdraw,withdrew,withdrawn,철수하다/인출하다,Difficult
A-B-C,write,wrote,written,쓰다,Easy
special,dive,dived/dove,dived,뛰어들다/잠수하다,Average
special,be,was/were,been,이다/있다,Average
special,can,could,-,~할 수 있다,Easy
special,could,could,-,~할 수 있었다,Easy
special,may,might,-,~해도 된다/~일지도,Easy
special,might,might,-,~일지도 모른다,Easy
special,must,must,-,~해야 한다,Easy
special,ought,ought,-,~해야 한다,Easy
special,shall,should,-,~할 것이다,Easy
special,should,should,-,~해야 한다,Easy
special,will,would,-,~할 것이다,Easy
special,would,would,-,~하곤 했다/~할 것이다,Easy
Regular (-ed),abandon,abandonned,abandonned,"버리다, 포기하다",Average
Regular (-ed),abort,aborted,aborted,중단하다,Difficult
Regular (-ed),abound,abounded,abounded,풍부하다,Difficult
Regular (-ed),absorb,absorbed,absorbed,흡수하다,Average
Regular (-ed),abuse,abused,abused,남용하다/학대하다,Average
Regular (-ed),accelerate,accelerated,accelerated,가속하다,Difficult
Regular (-ed),accept,accepted,accepted,받아들이다,Average
Regular (-ed),access,accessed,accessed,접근하다,Average
Regular (-ed),accommodate,accommodated,accommodated,수용하다/숙박시키다,Difficult
Regular (-ed),accompany,accompanied,accompanied,동행하다,Average
Regular (-ed),accomplish,accomplished,accomplished,성취하다,Average
Regular (-ed),accord,accorded,accorded,일치하다/부여하다,Average
Regular (-ed),account,accounted,accounted,설명하다/차지하다,Average
Regular (-ed),accumulate,accumulated,accumulated,축적하다,Difficult
Regular (-ed),accuse,accused,accused,"비난하다, 고발하다",Average
Regular (-ed),ache,ached,ached,쑤시다/아프다,Average
Regular (-ed),achieve,achieved,achieved,성취하다,Average
Regular (-ed),acknowledge,acknowledged,acknowledged,인정하다,Average
Regular (-ed),acquire,acquired,acquired,얻다,Average
Regular (-ed),act,acted,acted,행동하다,Average
Regular (-ed),adapt,adapted,adapted,적응하다,Average
Regular (-ed),add,added,added,더하다,Easy
Regular (-ed),addict,addicted,addicted,중독시키다,Difficult
Regular (-ed),address,addressed,addressed,다루다/연설하다,Average
Regular (-ed),adjust,adjusted,adjusted,조정하다,Average
Regular (-ed),administer,administerred,administerred,관리하다/집행하다,Difficult
Regular (-ed),admire,admired,admired,존경하다,Average
Regular (-ed),admit,admitted,admitted,인정하다/입장시키다,Average
Regular (-ed),adopt,adopted,adopted,채택하다/입양하다,Average
Regular (-ed),advance,advanced,advanced,나아가다,Average
Regular (-ed),advertise,advertised,advertised,광고하다,Average
Regular (-ed),advertize,advertized,advertized,광고하다,Average
Regular (-ed),advise,advised,advised,충고하다,Average
Regular (-ed),advocate,advocated,advocated,옹호하다/주장하다,Difficult
Regular (-ed),affect,affected,affected,영향을 미치다,Average
Regular (-ed),afford,afforded,afforded,~할 여유가 있다,Average
Regular (-ed),agree,agreed,agreed,동의하다,Average
Regular (-ed),aid,aided,aided,돕다/지원하다,Average
Regular (-ed),aim,aimed,aimed,목표로 하다,Average
Regular (-ed),air,aired,aired,방영하다/환기하다,Easy
Regular (-ed),alarm,alarmed,alarmed,경보를 울리다/놀라게 하다,Average
Regular (-ed),alert,alerted,alerted,경고하다/주의시키다,Average
Regular (-ed),allocate,allocated,allocated,할당하다/배분하다,Difficult
Regular (-ed),allow,allowed,allowed,허락하다,Easy
Regular (-ed),ally,allied,allied,동맹을 맺다,Average
Regular (-ed),alter,alterred,alterred,바꾸다/변경하다,Average
Regular (-ed),alternate,alternated,alternated,교대하다/번갈아 하다,Difficult
Regular (-ed),amaze,amazed,amazed,놀라게 하다,Average
Regular (-ed),amount,amounted,amounted,합계가 되다/~에 달하다,Average
Regular (-ed),amuse,amused,amused,즐겁게 하다,Average
Regular (-ed),analyse,analysed,analysed,분석하다,Difficult
Regular (-ed),analyze,analyzed,analyzed,분석하다,Difficult
Regular (-ed),anchor,anchorred,anchorred,닻을 내리다/고정하다,Difficult
Regular (-ed),anger,angerred,angerred,화나게 하다,Average
Regular (-ed),announce,announced,announced,발표하다/알리다,Average
Regular (-ed),annoy,annoyed,annoyed,짜증나게 하다,Average
Regular (-ed),answer,answerred,answerred,대답하다,Easy
Regular (-ed),anticipate,anticipated,anticipated,예상하다/기대하다,Difficult
Regular (-ed),appeal,appealed,appealed,호소하다/매력있다,Average
Regular (-ed),appear,appeared,appeared,나타나다,Easy
Regular (-ed),apply,applied,applied,지원하다/적용하다,Easy
Regular (-ed),appoint,appointed,appointed,임명하다/정하다,Average
Regular (-ed),appreciate,appreciated,appreciated,감사하다/감상하다,Average
Regular (-ed),approach,approached,approached,접근하다,Average
Regular (-ed),approve,approved,approved,승인하다/찬성하다,Average
Regular (-ed),approximate,approximated,approximated,근접하다/추정하다,Difficult
Regular (-ed),argue,argued,argued,논쟁하다,Average
Regular (-ed),arm,armed,armed,무장하다,Average
Regular (-ed),arrange,arranged,arranged,정리하다/마련하다,Average
Regular (-ed),arrest,arrested,arrested,체포하다,Average
Regular (-ed),arrive,arrived,arrived,도착하다,Easy
Regular (-ed),ask,asked,asked,묻다,Easy
Regular (-ed),aspire,aspired,aspired,열망하다,Difficult
Regular (-ed),assault,assaulted,assaulted,공격하다/폭행하다,Difficult
Regular (-ed),assemble,assembled,assembled,모으다/조립하다,Difficult
Regular (-ed),assert,asserted,asserted,주장하다/단언하다,Difficult
Regular (-ed),assess,assessed,assessed,평가하다/사정하다,Difficult
Regular (-ed),assign,assigned,assigned,배정하다/할당하다,Average
Regular (-ed),assist,assisted,assisted,돕다/보조하다,Average
Regular (-ed),associate,associated,associated,연결하다/어울리다,Difficult
Regular (-ed),assume,assumed,assumed,가정하다/떠맡다,Average
Regular (-ed),assure,assured,assured,확신시키다/보장하다,Average
Regular (-ed),astonish,astonished,astonished,깜짝 놀라게 하다,Difficult
Regular (-ed),attach,attached,attached,붙이다/첨부하다,Average
Regular (-ed),attack,attacked,attacked,공격하다,Average
Regular (-ed),attempt,attempted,attempted,시도하다,Average
Regular (-ed),attend,attended,attended,참석하다,Average
Regular (-ed),attract,attracted,attracted,끌어당기다/매혹하다,Average
Regular (-ed),attribute,attributed,attributed,귀속시키다/탓하다,Difficult
Regular (-ed),auction,auctioned,auctioned,경매하다,Difficult
Regular (-ed),avail,availed,availed,도움이 되다,Difficult
Regular (-ed),average,averaged,averaged,평균이 되다,Average
Regular (-ed),avoid,avoided,avoided,피하다,Easy
Regular (-ed),await,awaited,awaited,기다리다,Average
Regular (-ed),award,awarded,awarded,수여하다/상을 주다,Average
Regular (-ed),awe,awed,awed,경외감을 주다,Average
Regular (-ed),back,backed,backed,지지하다/후진하다,Average
Regular (-ed),bake,baked,baked,굽다,Average
Regular (-ed),balance,balanced,balanced,균형을 잡다,Average
Regular (-ed),ban,banned,banned,금지하다,Average
Regular (-ed),band,banded,banded,묶다/연대하다,Average
Regular (-ed),bang,banged,banged,세게 치다/쾅 닫다,Average
Regular (-ed),bank,banked,banked,예금하다/기대다,Average
Regular (-ed),bankrupt,bankrupted,bankrupted,파산시키다,Difficult
Regular (-ed),bar,barred,barred,막다/금지하다,Average
Regular (-ed),bargain,bargained,bargained,흥정하다,Average
Regular (-ed),bark,barked,barked,짖다,Average
Regular (-ed),base,based,based,기반을 두다,Average
Regular (-ed),bat,batted,batted,방망이로 치다,Average
Regular (-ed),battle,battled,battled,싸우다,Average
Regular (-ed),beam,beamed,beamed,빛을 발하다/미소 짓다,Average
Regular (-ed),beg,begged,begged,구걸하다/간청하다,Average
Regular (-ed),behave,behaved,behaved,행동하다/예의 바르게 굴다,Average
Regular (-ed),believe,believed,believed,믿다,Easy
Regular (-ed),belong,belonged,belonged,속하다,Average
Regular (-ed),benefit,benefitted,benefitted,이익을 얻다/도움이 되다,Average
Regular (-ed),betray,betrayed,betrayed,배신하다,Average
Regular (-ed),bias,biased,biased,편향되게 하다,Difficult
Regular (-ed),bill,billed,billed,청구하다,Average
Regular (-ed),blame,blamed,blamed,비난하다/탓하다,Average
Regular (-ed),blank,blanked,blanked,비우다/공란으로 하다,Average
Regular (-ed),blast,blasted,blasted,폭발하다/강하게 치다,Average
Regular (-ed),blend,blended,blended,섞다/혼합하다,Average
Regular (-ed),bless,blessed,blessed,축복하다,Average
Regular (-ed),blind,blinded,blinded,눈을 멀게 하다,Average
Regular (-ed),blink,blinked,blinked,눈을 깜빡이다,Average
Regular (-ed),block,blocked,blocked,막다/차단하다,Average
Regular (-ed),bloom,bloomed,bloomed,꽃 피우다/번성하다,Average
Regular (-ed),blossom,blossommed,blossommed,꽃 피다/발전하다,Average
Regular (-ed),board,boarded,boarded,탑승하다/판자를 대다,Average
Regular (-ed),boil,boiled,boiled,끓다/끓이다,Average
Regular (-ed),bomb,bombed,bombed,폭탄을 투하하다,Average
Regular (-ed),bond,bonded,bonded,결속하다/유대를 맺다,Average
Regular (-ed),book,booked,booked,예약하다,Average
Regular (-ed),boom,boomed,boomed,급성장하다/큰 소리가 나다,Average
Regular (-ed),boost,boosted,boosted,높이다/활성화하다,Average
Regular (-ed),boot,booted,booted,부팅하다/시작하다,Average
Regular (-ed),border,borderred,borderred,접하다/경계를 이루다,Average
Regular (-ed),bore,bored,bored,지루하게 하다/구멍을 뚫다,Average
Regular (-ed),borrow,borrowed,borrowed,빌리다,Easy
Regular (-ed),boss,bossed,bossed,지시하다/군림하다,Average
Regular (-ed),bother,botherred,botherred,신경 쓰이게 하다/귀찮게 하다,Average
Regular (-ed),bottle,bottled,bottled,병에 담다,Average
Regular (-ed),bounce,bounced,bounced,튀다/반송하다,Average
Regular (-ed),bow,bowed,bowed,절하다/고개를 숙이다,Average
Regular (-ed),bowl,bowled,bowled,볼링을 하다/그릇에 담다,Average
Regular (-ed),box,boxed,boxed,상자에 넣다/권투하다,Average
Regular (-ed),brake,braked,braked,제동을 걸다,Average
Regular (-ed),branch,branched,branched,분기하다/가지를 뻗다,Average
Regular (-ed),brand,branded,branded,상표를 붙이다/낙인찍다,Average
